ensg	enst	symbol	chr
ENSG00000163064	ENST00000295206	EN1	2
ENSG00000005175	ENST00000005386	RPAP3	12
ENSG00000164007	ENST00000296387	CLDN19	1
ENSG00000184374	ENST00000332843	COLEC10	8
ENSG00000068724	ENST00000394850	TTC7A	2
ENSG00000131323	ENST00000560371	TRAF3	14
ENSG00000143384	ENST00000369026	MCL1	1
ENSG00000197912	ENST00000645818	SPG7	16
ENSG00000176148	ENST00000334274	TCP11L1	11
ENSG00000197385	ENST00000360311	ZNF860	3
ENSG00000117385	ENST00000236040	P3H1	1
ENSG00000175110	ENST00000495075	MRPS22	3
ENSG00000143382	ENST00000369039	ADAMTSL4	1
ENSG00000135535	ENST00000310786	CD164	6
ENSG00000114770	ENST00000334444	ABCC5	3
ENSG00000110719	ENST00000265686	TCIRG1	11
ENSG00000166148	ENST00000299178	AVPR1A	12
ENSG00000144645	ENST00000396556	OSBPL10	3
ENSG00000092820	ENST00000367075	EZR	6
ENSG00000206527	ENST00000383657	HACD2	3
ENSG00000173093	ENST00000308208	CCDC63	12
ENSG00000185664	ENST00000449260	PMEL	12
ENSG00000128563	ENST00000496391	PRKRIP1	7
ENSG00000184814	ENST00000329447	PRR23B	3
ENSG00000133216	ENST00000400191	EPHB2	1
ENSG00000233701	ENST00000413199	PRR23C	3
ENSG00000206260	ENST00000383163	PRR23A	3
ENSG00000257446	ENST00000547628	ZNF878	19
ENSG00000182870	ENST00000328957	GALNT9	12
ENSG00000184432	ENST00000333188	COPB2	3
ENSG00000197647	ENST00000344980	ZNF433	19
ENSG00000107187	ENST00000371746	LHX3	9
ENSG00000074416	ENST00000265052	MGLL	3
ENSG00000274764	ENST00000436041	PRAMEF27	1
ENSG00000075234	ENST00000381031	TTC38	22
ENSG00000019169	ENST00000327097	MARCO	2
ENSG00000277058	ENST00000617807	HNRNPCL3	1
ENSG00000229571	ENST00000614839	PRAMEF25	1
ENSG00000143420	ENST00000339643	ENSA	1
ENSG00000065534	ENST00000360304	MYLK	3
ENSG00000115694	ENST00000316586	STK25	2
ENSG00000112787	ENST00000434748	FBRSL1	12
ENSG00000241878	ENST00000382151	PISD	22
ENSG00000173715	ENST00000360962	C11orf80	11
ENSG00000158467	ENST00000325006	AHCYL2	7
ENSG00000180398	ENST00000409105	MCFD2	2
ENSG00000231738	ENST00000532498	TSPAN19	12
ENSG00000164961	ENST00000318410	WASHC5	8
ENSG00000187240	ENST00000398093	DYNC2H1	11
ENSG00000117114	ENST00000370730	ADGRL2	1
ENSG00000204583	ENST00000376608	LRCOL1	12
ENSG00000146733	ENST00000395471	PSPH	7
ENSG00000171560	ENST00000302053	FGA	4
ENSG00000116774	ENST00000320334	OLFML3	1
ENSG00000143457	ENST00000271732	GOLPH3L	1
ENSG00000168374	ENST00000303436	ARF4	3
ENSG00000137054	ENST00000377798	POLR1E	9
ENSG00000143452	ENST00000361824	HORMAD1	1
ENSG00000133640	ENST00000393217	LRRIQ1	12
ENSG00000156831	ENST00000287437	NSMCE2	8
ENSG00000185621	ENST00000420910	LMLN	3
ENSG00000184708	ENST00000397525	EIF4ENIF1	22
ENSG00000134216	ENST00000369740	CHIA	1
ENSG00000156269	ENST00000286794	NAA11	4
ENSG00000158526	ENST00000375151	TSR2	X
ENSG00000173653	ENST00000309657	RCE1	11
ENSG00000102302	ENST00000375135	FGD1	X
ENSG00000184990	ENST00000329967	SIVA1	14
ENSG00000149346	ENST00000334534	SLX4IP	20
ENSG00000182218	ENST00000330710	HHIPL1	14
ENSG00000187048	ENST00000310638	CYP4A11	1
ENSG00000198650	ENST00000355962	TAT	16
ENSG00000147676	ENST00000614891	MAL2	8
ENSG00000135413	ENST00000257867	LACRT	12
ENSG00000137948	ENST00000399546	BRDT	1
ENSG00000177051	ENST00000317683	FBXO46	19
ENSG00000108094	ENST00000421317	CUL2	10
ENSG00000156239	ENST00000303775	N6AMT1	21
ENSG00000185347	ENST00000392522	TEDC1	14
ENSG00000106025	ENST00000222747	TSPAN12	7
ENSG00000114480	ENST00000429644	GBE1	3
ENSG00000145734	ENST00000358731	BDP1	5
ENSG00000138686	ENST00000264499	BBS7	4
ENSG00000061273	ENST00000080059	HDAC7	12
ENSG00000101384	ENST00000254958	JAG1	20
ENSG00000256269	ENST00000278715	HMBS	11
ENSG00000163131	ENST00000368985	CTSS	1
ENSG00000185721	ENST00000331457	DRG1	22
ENSG00000130766	ENST00000253063	SESN2	1
ENSG00000177990	ENST00000324472	DPY19L2	12
ENSG00000161634	ENST00000456047	DCD	12
ENSG00000144119	ENST00000272520	C1QL2	2
ENSG00000134207	ENST00000609117	SYT6	1
ENSG00000170271	ENST00000326080	FAXDC2	5
ENSG00000173947	ENST00000369738	PIFO	1
ENSG00000130772	ENST00000373842	MED18	1
ENSG00000011332	ENST00000355526	DPF1	19
ENSG00000187715	ENST00000405109	KBTBD12	3
ENSG00000198089	ENST00000400288	SFI1	22
ENSG00000196876	ENST00000354534	SCN8A	12
ENSG00000143387	ENST00000271651	CTSK	1
ENSG00000180318	ENST00000316824	ALX1	12
ENSG00000118600	ENST00000261234	RXYLT1	12
ENSG00000165091	ENST00000297784	TMC1	9
ENSG00000237452	ENST00000457052	BHMG1	19
ENSG00000171557	ENST00000336098	FGG	4
ENSG00000142208	ENST00000554581	AKT1	14
ENSG00000161021	ENST00000292599	MAML1	5
ENSG00000155508	ENST00000517876	CNOT8	5
ENSG00000163909	ENST00000372852	HEYL	1
ENSG00000213316	ENST00000292596	LTC4S	5
ENSG00000006607	ENST00000264042	FARP2	2
ENSG00000274386	ENST00000536543	TMEM269	1
ENSG00000177868	ENST00000372521	SVBP	1
ENSG00000157219	ENST00000287907	HTR5A	7
ENSG00000164008	ENST00000372525	C1orf50	1
ENSG00000143437	ENST00000358595	ARNT	1
ENSG00000164010	ENST00000372517	ERMAP	1
ENSG00000187848	ENST00000343948	P2RX2	12
ENSG00000116981	ENST00000235628	NT5C1A	1
ENSG00000129152	ENST00000250003	MYOD1	11
ENSG00000205352	ENST00000429243	PRR13	12
ENSG00000116983	ENST00000372844	HPCAL4	1
ENSG00000107984	ENST00000373970	DKK1	10
ENSG00000176029	ENST00000326053	C11orf16	11
ENSG00000140832	ENST00000299952	MARVELD3	16
ENSG00000198774	ENST00000361228	RASSF9	12
ENSG00000133636	ENST00000256010	NTS	12
ENSG00000040199	ENST00000568954	PHLPP2	16
ENSG00000186480	ENST00000340368	INSIG1	7
ENSG00000166452	ENST00000309377	AKIP1	11
ENSG00000186377	ENST00000371901	CYP4X1	1
ENSG00000058262	ENST00000243253	SEC61A1	3
ENSG00000198183	ENST00000354297	BPIFA1	20
ENSG00000139625	ENST00000547035	MAP3K12	12
ENSG00000213145	ENST00000330233	CRIP1	14
ENSG00000164778	ENST00000297375	EN2	7
ENSG00000131018	ENST00000367255	SYNE1	6
ENSG00000186160	ENST00000334194	CYP4Z1	1
ENSG00000129167	ENST00000250018	TPH1	11
ENSG00000115107	ENST00000393110	STEAP3	2
ENSG00000162365	ENST00000371891	CYP4A22	1
ENSG00000132394	ENST00000254730	EEFSEC	3
ENSG00000146910	ENST00000321736	CNPY1	7
ENSG00000175792	ENST00000322623	RUVBL1	3
ENSG00000138750	ENST00000264883	NUP54	4
ENSG00000172551	ENST00000308796	MUCL1	12
ENSG00000197111	ENST00000359462	PCBP2	12
ENSG00000129158	ENST00000265965	SERGEF	11
ENSG00000155034	ENST00000382368	FBXL18	7
ENSG00000136999	ENST00000259526	NOV	8
ENSG00000184863	ENST00000401878	RBM33	7
ENSG00000185950	ENST00000375856	IRS2	13
ENSG00000059377	ENST00000416849	TBXAS1	7
ENSG00000186132	ENST00000409466	C2orf76	2
ENSG00000186090	ENST00000382489	HTR3D	3
ENSG00000140543	ENST00000564406	DET1	15
ENSG00000111145	ENST00000228741	ELK3	12
ENSG00000259494	ENST00000312475	MRPL46	15
ENSG00000142552	ENST00000270645	RCN3	19
ENSG00000198176	ENST00000375370	TFDP1	13
ENSG00000182050	ENST00000611864	MGAT4C	12
ENSG00000181991	ENST00000325844	MRPS11	15
ENSG00000211584	ENST00000442218	SLC48A1	12
ENSG00000111581	ENST00000229179	NUP107	12
ENSG00000166426	ENST00000299529	CRABP1	15
ENSG00000079337	ENST00000449771	RAPGEF3	12
ENSG00000206190	ENST00000356865	ATP10A	15
ENSG00000148290	ENST00000371974	SURF1	9
ENSG00000123066	ENST00000281928	MED13L	12
ENSG00000116985	ENST00000372827	BMP8B	1
ENSG00000188779	ENST00000341418	SKOR1	15
ENSG00000177045	ENST00000317578	SIX5	19
ENSG00000116171	ENST00000371514	SCP2	1
ENSG00000121207	ENST00000336356	LRAT	4
ENSG00000181885	ENST00000360325	CLDN7	17
ENSG00000142166	ENST00000270139	IFNAR1	21
ENSG00000036530	ENST00000261835	CYP46A1	14
ENSG00000084072	ENST00000372830	PPIE	1
ENSG00000148291	ENST00000371964	SURF2	9
ENSG00000185800	ENST00000270223	DMWD	19
ENSG00000204138	ENST00000373836	PHACTR4	1
ENSG00000165959	ENST00000298912	CLMN	14
ENSG00000151962	ENST00000281722	RBM46	4
ENSG00000178084	ENST00000318351	HTR3C	3
ENSG00000254999	ENST00000530758	BRK1	3
ENSG00000104936	ENST00000343373	DMPK	19
ENSG00000170291	ENST00000396628	ELP5	17
ENSG00000196475	ENST00000358842	GK2	4
ENSG00000185250	ENST00000440797	PPIL6	6
ENSG00000134086	ENST00000256474	VHL	3
ENSG00000129159	ENST00000265969	KCNC1	11
ENSG00000215906	ENST00000426928	LACTBL1	1
ENSG00000186038	ENST00000440596	HTR3E	3
ENSG00000227868	ENST00000566855	TEX46	1
ENSG00000148848	ENST00000368679	ADAM12	10
ENSG00000105991	ENST00000343060	HOXA1	7
ENSG00000123268	ENST00000262053	ATF1	12
ENSG00000174839	ENST00000311128	DENND6A	3
ENSG00000114113	ENST00000232217	RBP2	3
ENSG00000138741	ENST00000379645	TRPC3	4
ENSG00000198754	ENST00000327582	OXCT2	1
ENSG00000117906	ENST00000320963	RCN2	15
ENSG00000114115	ENST00000232219	RBP1	3
ENSG00000129007	ENST00000467889	CALML4	15
ENSG00000064393	ENST00000406875	HIPK2	7
ENSG00000244165	ENST00000321826	P2RY11	19
ENSG00000163376	ENST00000417314	KBTBD8	3
ENSG00000130810	ENST00000253107	PPAN	19
ENSG00000071243	ENST00000315870	ING3	7
ENSG00000172031	ENST00000370383	EPHX4	1
ENSG00000163864	ENST00000296202	NMNAT3	3
ENSG00000197323	ENST00000358465	TRIM33	1
ENSG00000135587	ENST00000258052	SMPD2	6
ENSG00000033800	ENST00000545237	PIAS1	15
ENSG00000180198	ENST00000373831	RCC1	1
ENSG00000230667	ENST00000596516	SETSIP	1
ENSG00000196935	ENST00000355086	SRGAP1	12
ENSG00000130811	ENST00000253108	EIF3G	19
ENSG00000175826	ENST00000573600	CTDNEP1	17
ENSG00000258102	ENST00000556529	MAP1LC3B2	12
ENSG00000168386	ENST00000354552	FILIP1L	3
ENSG00000198862	ENST00000614971	LTN1	21
ENSG00000056736	ENST00000288167	IL17RB	3
ENSG00000189195	ENST00000636278	BTBD8	1
ENSG00000103942	ENST00000304231	HOMER2	15
ENSG00000146731	ENST00000275603	CCT6A	7
ENSG00000140948	ENST00000268616	ZCCHC14	16
ENSG00000184220	ENST00000421999	CMSS1	3
ENSG00000128973	ENST00000249806	CLN6	15
ENSG00000111405	ENST00000422538	ENDOU	12
ENSG00000111412	ENST00000261318	C12orf49	12
ENSG00000186452	ENST00000398458	TMPRSS12	12
ENSG00000243207	ENST00000393796	PPAN-P2RY11	19
ENSG00000169612	ENST00000304191	FAM103A1	15
ENSG00000283324	ENST00000636087	CTXND2	1
ENSG00000136381	ENST00000258886	IREB2	15
ENSG00000064726	ENST00000261721	BTBD1	15
ENSG00000100336	ENST00000352371	APOL4	22
ENSG00000121769	ENST00000373713	FABP3	1
ENSG00000170296	ENST00000302386	GABARAP	17
ENSG00000100395	ENST00000216237	L3MBTL2	22
ENSG00000165471	ENST00000373968	MBL2	10
ENSG00000164114	ENST00000311277	MAP9	4
ENSG00000130363	ENST00000252655	RSPH3	6
ENSG00000130119	ENST00000336470	GNL3L	X
ENSG00000169609	ENST00000451195	C15orf40	15
ENSG00000116752	ENST00000369541	BCAS2	1
ENSG00000164691	ENST00000367066	TAGAP	6
ENSG00000165661	ENST00000358701	QSOX2	9
ENSG00000143379	ENST00000271640	SETDB1	1
ENSG00000177096	ENST00000321753	FAM109B	22
ENSG00000145632	ENST00000274289	PLK2	5
ENSG00000136960	ENST00000259486	ENPP2	8
ENSG00000111245	ENST00000228841	MYL2	12
ENSG00000175984	ENST00000393274	DENND2C	1
ENSG00000135426	ENST00000449076	TESPA1	12
ENSG00000125999	ENST00000253354	BPIFB1	20
ENSG00000260220	ENST00000569961	CCDC187	9
ENSG00000075624	ENST00000331789	ACTB	7
ENSG00000138640	ENST00000264344	FAM13A	4
ENSG00000178585	ENST00000377263	CTNNBIP1	1
ENSG00000100399	ENST00000216241	CHADL	22
ENSG00000185149	ENST00000329476	NPY2R	4
ENSG00000198752	ENST00000361246	CDC42BPB	14
ENSG00000165092	ENST00000297785	ALDH1A1	9
ENSG00000169641	ENST00000302291	LUZP1	1
ENSG00000162366	ENST00000294338	PDZK1IP1	1
ENSG00000134070	ENST00000256458	IRAK2	3
ENSG00000186009	ENST00000335288	ATP4B	13
ENSG00000152642	ENST00000282541	GPD1L	3
ENSG00000185432	ENST00000548553	METTL7A	12
ENSG00000059758	ENST00000261211	CDK17	12
ENSG00000004487	ENST00000400181	KDM1A	1
ENSG00000140463	ENST00000268057	BBS4	15
ENSG00000105996	ENST00000222718	HOXA2	7
ENSG00000105974	ENST00000341049	CAV1	7
ENSG00000197584	ENST00000432997	KCNMB2	3
ENSG00000169994	ENST00000428314	MYO7B	2
ENSG00000177084	ENST00000320574	POLE	12
ENSG00000106006	ENST00000222728	HOXA6	7
ENSG00000166126	ENST00000299155	AMN	14
ENSG00000187682	ENST00000338270	ERAS	X
ENSG00000105997	ENST00000612286	HOXA3	7
ENSG00000139132	ENST00000525053	FGD4	12
ENSG00000102109	ENST00000218230	PCSK1N	X
ENSG00000113812	ENST00000335754	ACTR8	3
ENSG00000143418	ENST00000271688	CERS2	1
ENSG00000214978	ENST00000399363	GSG1L2	17
ENSG00000184544	ENST00000330255	DHRS7C	17
ENSG00000197576	ENST00000360046	HOXA4	7
ENSG00000183172	ENST00000331479	SMDT1	22
ENSG00000106004	ENST00000222726	HOXA5	7
ENSG00000172340	ENST00000493112	SUCLG2	3
ENSG00000261308	ENST00000618634	FIGNL2	12
ENSG00000111249	ENST00000261726	CUX2	12
ENSG00000214511	ENST00000398455	HIGD1C	12
ENSG00000122592	ENST00000242159	HOXA7	7
ENSG00000198707	ENST00000552810	CEP290	12
ENSG00000164690	ENST00000297261	SHH	7
ENSG00000113811	ENST00000495461	SELENOK	3
ENSG00000071794	ENST00000310053	HLTF	3
ENSG00000267795	ENST00000615889	SMIM22	16
ENSG00000075218	ENST00000454366	GTSE1	22
ENSG00000198324	ENST00000361483	FAM109A	12
ENSG00000106355	ENST00000450169	LSM5	7
ENSG00000182103	ENST00000329203	FAM181B	11
ENSG00000160993	ENST00000292566	ALKBH4	7
ENSG00000146856	ENST00000436302	AGBL3	7
ENSG00000160991	ENST00000356387	ORAI2	7
ENSG00000175455	ENST00000488653	CCDC14	3
ENSG00000142546	ENST00000596358	NOSIP	19
ENSG00000140623	ENST00000268231	SEPT12	16
ENSG00000100197	ENST00000360608	CYP2D6	22
ENSG00000176438	ENST00000334258	SYNE3	14
